SKU/ Item Code,Item Name ,Second  Name ,Item Type,Item Category (Accounting),Category Name (Accounting),Disable on Regular Orders,Disable on Flexship
102601000,Lash & Brow Enhancing Serum,6000000174,P,1,Products,,T
10270000,MONAT Magazine,Package of 10,P,5,Samples and POP,T,T
10276000,"JUNIOR Gentle Conditioner, 6 oz.",10276000,P,1,Products,,T
10280000,VIP Customer Brochure Pack (10),Old version,P,5,Samples and POP,T,T
10281000,VIP Customer Brochure Unit,,P,5,Samples and POP,T,T
10286000,"JUNIOR Gentle Detangling Spray, 6 oz.",10286000,P,1,Products,,T
10290000,Opportunity Brochure Pack (10),,P,5,Samples and POP,T,T
10291000,Opportunity Brochure Unit,DISCONTINUED,P,5,Samples and POP,T,T
10298000,"JUNIOR Gentle Shampoo, 8 oz.",,P,1,Products,,T
10300000,Product Catalog Pack (10),Package of 10,P,5,Samples and POP,T,T
10300050,"Sample - Rejuvabeads, 0.05 oz.",20043..05A,P,5,Samples and POP,,T
10301000,"Travel Size - Rejuvabeads, 1 oz.",,P,10,Promotional Items,,T
10302400,"Rejuvabeads, 2.4 oz.",6000000175,P,1,Products,,T
10310000,Sample (10) Revitalize Conditioner,6000000317,P,5,Samples and POP,,T
10311000,"Sample - Revitalize Conditioner, 0.34 oz.",20039..34A,P,5,Samples and POP,,T
10314000,"OFY Smoothing Shampoo, 4 oz.",Only For You Version,P,1,Products,,T
10320000,Sample (10) Replenish Masque,6000000315,P,5,Samples and POP,,T
10321000,"Sample - Replenish Masque, 0.34 oz.",20037..34A,P,5,Samples and POP,,T
10324000,"OFY Curl Cream, 4 oz.",OFY Version,P,1,Products,,T
10330000,Sample (10) Men's 2-in-1,Package of 10,P,5,Samples and POP,T,T
10331000,Men's 2-in-1 Sample Unit,,P,5,Samples and POP,T,T
10332000,"More than a Hand Cream, 2 oz.",,P,10,Promotional Items,,T
10340000,Price List,,P,5,Samples and POP,T,T
10341000,Price List - DISCONTINUED,,P,5,Samples and POP,T,T
10342000,"Travel Size - Blow Out Cream, 2 oz.",,P,10,Promotional Items,,T
10350000,VIP Style Magazine,,P,5,Samples and POP,T,T
10351000,Vip Style Magazine January,,P,5,Samples and POP,T,T
103510000,VIP Style Magazine October,,P,5,Samples and POP,T,T
103511000,VIP Style Magazine November,,P,5,Samples and POP,T,T
103512000,VIP Style Magazine December,,P,5,Samples and POP,T,T
10351300,VIP Style Magazine Past Editions Bundle of 10,"2 Feb, 4 March, 4 July",P,5,Samples and POP,T,T
10352000,VIP Style Magazine February,,P,5,Samples and POP,T,T
10353000,VIP Style Magazine March,,P,5,Samples and POP,T,T
10354000,VIP Style Magazine April,,P,5,Samples and POP,T,T
10355000,VIP Style Magazine May,,P,5,Samples and POP,T,T
10356000,"Smoothing Deep Conditioner, 6 oz.",6000000235,P,1,Products,,T
10357000,VIP Style Magazine July,,P,5,Samples and POP,T,T
10358000,VIP Style Magazine August,,P,5,Samples and POP,T,T
10359000,VIP Style Magazine September,,P,5,Samples and POP,T,T
10360000,Sample (10) Renew Shampoo,6000000309,P,5,Samples and POP,,T
10361000,"Sample - Renew Shampoo, 0.34 oz.",6000000223,P,5,Samples and POP,,T
10362500,"OFY Shine Spray, 2.5 oz.",,P,1,Products,,T
10370000,Accessory Pack,,P,1,Products,T,T
10374000,"Blow Out Cream, 4 oz.",6000000213,P,1,Products,,T
10380000,Anniversary Product Pack,,P,2,Product Pack,T,T
10390000,Sample (10) Restore Leave-In Conditioner,20052.3.4A,P,5,Samples and POP,,T
10391000,"Sample -Restore Leave-In Conditioner, 0.34 oz",20036..34A,P,5,Samples and POP,,T
10392000,"Thickening Spray, 2 oz.",10392000,P,1,Products,,T
10400000,Sample (10) Revive Shampoo,20054.3.4A,P,5,Samples and POP,,T
10401000,"Sample - Revive Shampoo,  0.34 oz.",20038..34A,P,5,Samples and POP,,T
10414000,"OFY Clarifying Shampoo, 4 oz.",20030.4.0A,P,1,Products,,T
10423000,"Travel Size - The Champ Dry Shampoo, 3 oz.",ONLY for US and CA,P,10,Promotional Items,,T
10432000,"Rejuvamist, 2 oz.",,P,1,Products,,T
10511000,"On Point Beard Oil, 1oz.",,P,10,Promotional Items,,T
105212000,"Minterrific Foot Scrub, 12 oz.",,P,1,Products,,T
10534000,"OFY Air Dry Cream, 4 oz.",,P,1,Products,,T
10548000,"Minterrific Foot Cream, 8 oz.",,P,1,Products,,T
10990000,MONAT Starter Kit (Pre-Launch),,P,3,Starter Kit,T,T
10OFFCOUP,10% off coupon,,P,5,Samples and POP,T,T
1520BLACK,Black Shampoo + Conditioner - Sale,,P,8,Promotional Kits,T,T
1520CLAS,Clarifying Shampoo - Sale,,P,8,Promotional Kits,T,T
1520DRYS,Champ Dry Shampoo - Sale,,P,8,Promotional Kits,T,T
1520IRCON,Intense Repair Conditioner - Sale,6000000206,P,8,Promotional Kits,,T
1520IRTSH,IRT Shampoo - Sale,,P,8,Promotional Kits,T,T
1520JUNCON,Junior Gentle Conditioner - Sale,10276000,P,8,Promotional Kits,,T
1520JUNR,Junior Shampoo - Sale,,P,8,Promotional Kits,T,T
1520RENEW,Renew Shampoo - Sale,,P,8,Promotional Kits,T,T
1520RESTO,Restore Leave-In Conditioner - Sale,20016.4.5A,P,8,Promotional Kits,,T
1520REVIT,Revitalize Conditioner - Sale,20018.6.0A,P,8,Promotional Kits,,T
1520REVIVE,Revive Shampoo - Sale,,P,8,Promotional Kits,T,T
1520SMOOT,Smoothing Deep Conditioner - Sale,10356000,P,8,Promotional Kits,,T
1520SMOOTH,Smoothing Shampoo - Sale,,P,8,Promotional Kits,T,T
20000.4.0A,"OFY Super Moisture Masque, 4.0oz.",,P,1,Products,,T
2000000065,Box for Train Case,,P,6,Packaging,,T
20001.6.0A,"OFY Air Dry Cream, 6oz.",,P,1,Products,,T
20004.8.0A,"Brilliant Blonde Shampoo, 8oz.",20004.8.0A,P,1,Products,,T
20004034,"Sample - Brilliant Blonde Shampoo, 0.34 oz.",20004.0.34A,P,5,Samples and POP,,T
20005.6.0A,"Brilliant Blonde Conditioner, 6oz.",20005.6.0A,P,1,Products,,T
20005034,"Sample - Brilliant Blonde Conditioner, 0.34oz",20005.0.34A,P,5,Samples and POP,,T
20006.8.0A,"Perfectly Platinum Shampoo, 8oz.",20006.8.0A,P,1,Products,,T
20006034,"Sample - Perfectly Platinum Shampoo, 0.34 oz.",20006.0.34A,P,5,Samples and POP,,T
20007.6.0A,"Perfectly Platinum Conditioner, 6oz.",20007.6.0A,P,1,Products,,T
20007034,"Sample - Perfectly Platinum Conditioner, 0.34",20007.0.34A,P,5,Samples and POP,,T
20008.8.0A,"Beautiful Brunette Shampoo, 8 oz.",20008.8.0A,P,1,Products,,T
20008034,"Sample - Beautiful Brunette Shampoo, 0.34 oz.",20008.0.34A,P,5,Samples and POP,,T
20009.6.0A,"Beautiful Brunette Conditioner, 6oz.",20009.6.0A,P,1,Products,,T
20009034,"Sample Beautiful Brunette Conditioner, 0.34oz",20009.0.34A,P,5,Samples and POP,,T
20010000,Product Pack Shipping Box,,P,6,Packaging,T,T
20010800,"Chocolate Crave  Exfoliant, 8 oz + Pouf",,P,1,Products,,T
20010800K,Chocolate Crave Exfoliant + Pouf,,P,8,Promotional Kits,,T
20010800S,CHOCOLATE CRAVE - Special,,P,8,Promotional Kits,T,T
20011200,Bring On The Magic Cleansing Body Oil 2oz,,P,1,Products,,T
20012200,Bring On The Magic Dry Body Oil 2oz,,P,1,Products,,T
20013200,Bring On The Magic Body Crème 2oz,,P,1,Products,,T
20020000,System Box,,P,6,Packaging,T,T
20024.8.0B,ReFinish Control Hairspray 8.0 oz. (US Turn K,,P,1,Products,T,T
20028.4.0A,OFY Curl Cream 4 oz.,20028.4.0A,P,1,Products,,T
20029.2.5A,OFY Thickening Spray 2.5 oz.,20029.2.5A,P,1,Products,,T
20030000,System Box Sleeve,,P,6,Packaging,T,T
20031-8-0A,"Smoothing Shampoo, 8 oz.",6000000218,P,1,Products,,T
20031.8.0A,Smoothing Shampoo 8 oz,Feb-18,P,1,Products,T,T
20033-6-0A,"Air Dry Cream, 6 oz.",,P,1,Products,,T
20039..34A,"Revitalize Conditioner, 0.34oz",,P,10,Promotional Items,T,T
20040000,Regular Order Shipping Box,,P,6,Packaging,T,T
20042..34A,"Sample - Black Men's 2-in-1, 0.34 oz.",,P,5,Samples and POP,,T
20043..05A,"Sample - Rejuvabeads, 0.05 oz.",,P,5,Samples and POP,,T
20044.4.0A,FREE OFY product with VIP enrollment,,P,1,Products,T,T
20044200,"Travel Size - Smoothing Shampoo, 2 oz.",,P,10,Promotional Items,,T
20045.2.0A,"Travel Size - Smoothing Conditioner, 2 oz.",,P,1,Products,,T
20046.2.0A,"Travel Size - Black Men's 2-in-1, 2 oz.",,P,1,Products,,T
20047-4-0A,"Curl Cream, 4 oz.",6000000238,P,1,Products,,T
20047.4.0A,Curl Cream 4 oz.,,P,1,Products,T,T
20048.4.0A,"Monat Thermal Protection Spray, 4.5 oz.",,P,1,Products,T,T
20048.4.5A,"Monat Thermal Protection Spray, 4.5 oz.",,P,1,Products,T,T
20049.8.0A,ReFinish Control Hairspray 8.0 oz. (UK),,P,1,Products,T,T
20049.8.0B,ReFinish Control Hairspray 8.0 oz. (UK Turn K,,P,1,Products,T,T
20050.4.0A,The Champ Conditioning Dry Shampoo 4 oz. (UK),,P,1,Products,T,T
20050000,Starter Kit Box,,P,6,Packaging,T,T
20051..34A,NA,,P,1,Products,T,T
20051.3.4A,Sample (10) Renew Shampoo,20051.3.4A,P,5,Samples and POP,T,T
20052..34A,NA,,P,5,Samples and POP,T,
20052.3.4A,Sample (10) Restore Leave-In Conditioner 0.34,20052.3.4A,P,5,Samples and POP,,T
20053..34A,NA,,P,5,Samples and POP,T,T
20053.3.4A,"Replenish Masque, 0.34oz 10 Pack",20053.3.4A,P,5,Samples and POP,T,T
20054..34A,NA,,P,5,Samples and POP,T,T
20054.3.4A,"Revive Shampoo, 0.34oz 10 Pack",20054.3.4A,P,5,Samples and POP,,T
20055..34A,NA,,P,5,Samples and POP,T,T
20055.3.4A,Sample (10) Revitalize Conditioner,6000000317,P,5,Samples and POP,,T
20056..34A,NA,,P,5,Samples and POP,T,T
20056.3.4A,"Intense Repair Shampoo, 0.34oz 10 Pack",,P,1,Products,T,T
20057..34A,NA,,P,5,Samples and POP,T,T
20058..34A,NA,,P,5,Samples and POP,T,T
20058.3.4A,"Monat Black Shampoo + Conditioner, 0.34oz 10",20058.3.4A,P,5,Samples and POP,T,T
20059..31A,"EYEDOLIZE Lash Enhancing Serum, .31 oz.",,P,1,Products,T,T
20060..50A,"Rejuveniqe Packette, 0.05oz 10 Pack",20060..50A,P,5,Samples and POP,T,T
20060000,Meet MONAT Event Package Small,English Pack of 30 each,P,5,Samples and POP,T,T
20061.8.0A,"Monat Clarifying Shampoo, 8 oz.",,P,1,Products,T,T
20061800,"Clarifying Shampoo, 8 oz.",6000000242,P,1,Products,,T
20062.4.0A,"OFY Purifying Charcoal Gelee Masque, 4.0 oz.",,P,1,Products,T,T
20062167,"Charcoal Gelee, 1.67 oz",,P,1,Products,,T
20062400,"OFY Purifying Charcoal Gelee Masque, 4.0 oz.",6000000244,P,1,Products,,T
20063.3.5A,,,P,1,Products,T,T
20063.4.0A,"OFY Anti-Frizz Smoothing Primer, 4.0 oz.",,P,1,Products,,T
20064.4.0A,"Monat Soleil After Beach & Swim Shampoo, 4 oz",,P,1,Products,T,T
20065.2.0A,"Monat Soleil After Beach & Swim Masque, 2 oz.",20065.2.0A,P,1,Products,T,T
20065.4.0A,,,P,1,Products,T,T
20066.4.0A,"Monat Soleil Beach Wave Styling Spray, 4 oz.",20066.4.0A,P,1,Products,T,T
20067.2.0A,"Monat Curl Cream, 2 oz",,P,1,Products,T,T
20067200,"Travel Size - Curl Cream, 2 oz",,P,10,Promotional Items,,T
20068.8.0A,N/A,,P,1,Products,T,T
20068034,"Sample - Inner Restructuring Serum, 0.34oz",,P,5,Samples and POP,T,T
20068108,"Inner Force Restructuring Serum, 1.08 oz",,P,1,Products,,T
20068135,"Dual Force Restructuring Serum, 1.35 oz",20068135A,P,1,Products,T,T
20069.4.5A,N/A,,P,1,Products,T,T
20069034,"Sample - Restructuring Shampoo, 0.34oz",,P,5,Samples and POP,,T
20069800,"Restructuring Shampoo, 8 oz",20069800A,P,1,Products,,T
20070.8.0A,N/A,,P,1,Products,T,T
20070000,Meet MONAT Event Package Medium,English Pack of 60 each,P,5,Samples and POP,T,T
20070034,"Sample - Restructuring Conditioner, 0.34oz",,P,5,Samples and POP,,T
20070600,"Restructuring Conditioner, 6 oz",20070600A,P,1,Products,,T
20071.6.0A,N/A,,P,1,Products,T,T
20071034,Sample - Hair Transformation Masque .34oz,,P,5,Samples and POP,,T
20071500,"Hair transformation Masque, 4.2 oz",20071500A,P,1,Products,,T
20072.8.0A,N/A,,P,1,Products,T,T
20072034,"Sample - Super Moisture Masque, .34 oz",,P,5,Samples and POP,,T
20073.6.0A,"Monat Smoothing Deep Conditioner, 6 oz.",,P,1,Products,T,T
20074.5.0A,"Monat Super Moisture Masque, 5 oz.",,P,1,Products,T,T
20074167,"Super Moisture Masque, 1.67 oz.",,P,1,Products,,T
20074450,"Super Moisture Masque, 4.5 oz.",6000000479,P,1,Products,,T
20075.8.0A,N/A,,P,1,Products,T,T
20076.6.0A,N/A,,P,1,Products,T,T
20076100,"Black, Beard Grooming Oil, 1oz",,P,1,Products,,T
20077.8.0A,N/A,,P,1,Products,T,T
20078.6.0A,N/A,,P,1,Products,T,T
20079.8.0A,N/A,,P,1,Products,T,T
20080.6.0A,N/A,,P,1,Products,T,T
20080000,Meet MONAT Event Package Large,English Pack of 90 each,P,5,Samples and POP,T,T
20081.4.0A,"Monat Curl Cream, 4 oz.",,P,1,Products,T,T
20082.8.0A,N/A,,P,1,Products,T,T
20083.6.0A,N/A,,P,1,Products,T,T
20084.2.5A,N/A,,P,1,Products,T,T
20085.S.3A,"Monat S3 Supplements, 60 caps",,P,1,Products,T,T
20086.9.0A,N/A,,P,1,Products,T,T
20087.6.0A,N/A,,P,1,Products,T,T
20088.1.0A,"Monat On Point Beard Oil, 1 oz.",,P,1,Products,T,T
20088100,MONAT Black Beard Oil 1.0 oz,20088100,P,1,Products,,T
20089.1.7A,"Monat Rejuveniqe Sheer Mist, 1.75 oz.",,P,1,Products,T,T
20090.2.5A,"OFY Nutri-Moist CC Cream, 2.5 oz.",,P,1,Products,T,
20090.4.0A,"OFY Nutri-Moist CC Cream, 4 oz.",,P,1,Products,T,T
20090250,"OFY CC Cream, 2.5 oz.",6000000475,P,1,Products,,T
20091.6.0A,"Monat Hydrating Conditioner, 6 oz.",,P,1,Products,T,T
20091034,"Sample Advanced Hydrating Conditioner, 0.34oz",,P,5,Samples and POP,,T
20091600,"Advanced Hydrating Conditioner, 6 oz.",,P,1,Products,,T
20092.7.0A,"Monat Coco Charcoal Body Bar, 7 oz.",,P,1,Products,T,T
20092700,"Charcoal Exfoliating Body Bar, 7 oz.",,P,1,Products,,T
20093.7.0A,"Monat Super Fruits Body Bar, 7 oz.",,P,1,Products,T,T
20094.15.A,"Monat Double Action Hydrating Serum, 15 ml",,P,1,Products,T,T
20094150,Double Action Hydrating Serum,20094150,P,1,Products,,T
20095.5.0A,"Monat Heavenly Hydrating Masque, 5 oz.",,P,1,Products,T,T
20095034,"Sample - Heavenly Hydrating Masque, 0.34oz.",,P,5,Samples and POP,,T
20095167,"Heavenly Hydrating Masque, 1.67 oz.",,P,10,Promotional Items,,T
20095200,"Travel Size Heavenly Hydrating Masque, 2 oz",,P,1,Products,T,T
20095500,"Heavenly Hydrating Masque, 4.2 oz",20095500,P,1,Products,,T
20096034,"Sample - Advanced Hydrating Shampoo, 0.34 oz",,P,5,Samples and POP,,T
20096800,"Advanced Hydrating Shampoo, 8 oz",,P,1,Products,,T
20097200,"Thank You, XO XO Hand Cream, 2 oz.",,P,1,Products,,T
20098250,"OFY Brilliant Glossing Spray, 2.5 oz",,P,1,Products,,T
20099100,"Rejuveniqe Light 30 mL, 1 fl oz.",6000000480,P,11,Rejuveniqe,,T
20101200,"Spoil Yourself Hand Cream, 2 oz.",,P,1,Products,,T
20102200,"Hello Beautiful Hand Cream, 2 oz.",,P,1,Products,,T
3000000000,Poybag Translucid  Purple Mailer,,P,6,Packaging,,T
3000000001,TRAVEL ACCESSORY KIT in SILVER,,P,5,Samples and POP,,T
3000000002,Case Travel Accesory Kit Silver,,P,5,Samples and POP,,T
3000000003,Hair Dryer  +  Concentrater,,P,5,Samples and POP,,T
3000000004,Travel Flat Iron 8'',,P,5,Samples and POP,,T
3000000005,2-1 Interchangable Curling Iron,,P,5,Samples and POP,,T
3000000006,Large  Paddle Brush,3000000006,P,5,Samples and POP,,T
3000000008,Roller Styling Brush Silver for  Hair Dryer,,P,5,Samples and POP,,T
3000000012,Amazon Echo 2nd  Generation in White Color,,P,10,Promotional Items,,T
3000000013,Amazon Echo 2nd  Generation in Black Color,,P,10,Promotional Items,,T
300000004,Travel Flat Iron 8'',,P,5,Samples and POP,T,T
3000000057,Custom Purple Eye Mask w/pouch,,P,10,Promotional Items,,T
3000000090,Silver Train Case,,P,5,Samples and POP,,T
3000000091,PAD for Packaging Sets Foam BF18,,P,6,Packaging,,T
3000000092,Holographyc Bag Monat Gratitude,,P,5,Samples and POP,,T
3000000093,Keychain Pom Pom Gratitude,,P,5,Samples and POP,,T
3000000112,Selfie Light,3000000112,P,5,Samples and POP,,T
3000000113,Monat Lighthouse Shirts Small,,P,10,Promotional Items,,T
3000000114,Pet Bowl Silicone  12cm x 6.4H,3000000114,P,5,Samples and POP,,T
3000000122,Monat Lighthouse Shirts Medium,,P,10,Promotional Items,,T
3000000123,Monat Lighthouse Shirts Large,,P,10,Promotional Items,,T
3000000124,Monat Lighthouse Shirts  X-Large,,P,10,Promotional Items,,T
3000000125,Monat Lighthouse Shirts  XX-Large,,P,10,Promotional Items,,T
3000000130,Pet Bandana,3000000130,P,5,Samples and POP,,T
3000000132,"Monat Pet, System Box",,P,6,Packaging,,T
3000003A,Turn-Clasp Bag for Bring On The Magic Set,,P,5,Samples and POP,,T
3000005A,Purple Tote Bag,3000005A,P,5,Samples and POP,,T
3000006A,Confetti Glitter PVC Bag Purple Top Confetti,,P,5,Samples and POP,,T
3000007A,Diffuser,,P,5,Samples and POP,,T
3000008A,Looped Exfoliating Brush body in custom color,3000008A,P,5,Samples and POP,,T
3000011A,"Cosmetic bag 3PACK “Rounded Corner” S,M&L",3000011A,P,10,Promotional Items,,T
3000012A,Samsonite 25'' Lugagge Model 78588-1041,,P,5,Samples and POP,,T
3000013A,Samsonite 19'' Lugagge Model 78592-1041,,P,5,Samples and POP,,T
3000014A,Heat resistant pouch Signature Printed,,P,10,Promotional Items,,T
3000015A,Purple Backpack,3000015A,P,5,Samples and POP,,T
3000016A,Hair Bun Roller,,P,5,Samples and POP,,T
3000017A,Hair Bun Roller Metallic,,P,5,Samples and POP,T,T
3000018A,Train Case Cosmetic Bag,,P,5,Samples and POP,,T
3000019,USB Battery bag Signature Printed,3000019A,P,5,Samples and POP,,T
3000019A,USB Battery bag Signature Printed,,P,5,Samples and POP,,T
3000020A,Toiletry bag Signature Printed,,P,5,Samples and POP,,T
3000021A,Iron Hair Straightener and Curler,,P,5,Samples and POP,T,T
3000022A,3D Bag Purple,,P,5,Samples and POP,T,T
3000023A,Men's Dopp Kit,,P,5,Samples and POP,T,T
3000024A,Monat Car Window Decal,,P,5,Samples and POP,T,T
3000025A,Tray for Bring On The Magic SET,,P,5,Samples and POP,,T
3000026A,Sample/Jelly bag,,P,5,Samples and POP,T,T
3000030A,Zipplock Pouch bag  for Roadshow,,P,5,Samples and POP,,T
3000033A,Hair Tie (VIP),,P,5,Samples and POP,,T
3000034A,Holiday Rose Gold Sock Minterrific Footies -,HC 2018,P,5,Samples and POP,,T
3000035A,Duffle Bag - The Man Can HC 2018,3000035A,P,5,Samples and POP,,T
3000036A,Mitt Microfiber Cloth- Bring on the Magic  HC,,P,5,Samples and POP,,T
3000037A,Cosmetic Canvas - Glam Bag - Happy Hands,3000037A,P,5,Samples and POP,,T
3000039A,Kitty Bag Velour Rose Gold - Purr-fectly Fab,HC 2018,P,5,Samples and POP,,T
3000040A,Shower Cap Rose Gold Monat Logo - Purr-fectly,HC 2018,P,5,Samples and POP,,T
3000041A,Snooze Ready Eye Mask - Soft Touch Eyes,HC 2018,P,5,Samples and POP,,T
3000042A,Oil Drop Clip Silver & Rose Gold Matt - Stock,3000042A,P,5,Samples and POP,,T
3000043A,Ornaments Cozy - Warm - Wishes -Stocking Stuf,HC 2018,P,5,Samples and POP,,T
3000044A,Macaroon - Sleep on Roller - Stocking Stuffer,3000044A,P,5,Samples and POP,,T
3000045A,Zipplock Pouch French  for Roadshow,,P,5,Samples and POP,,
3000046A,Monat Canada Water Bottle,,P,5,Samples and POP,T,T
3000047A,"Cooler Tote Black  8"" x 6.5"" x 5.5""",,P,5,Samples and POP,,T
3000048A,Canvas Drawstring Sling Bag,,P,5,Samples and POP,,T
3000049A,Cosmetic Bag Silver Shiny,3000000044,P,5,Samples and POP,,T
3000050A,Eyelash Curler,3000000045,P,5,Samples and POP,,T
3000051A,Slated Eyebrow Twezeers,3000000046,P,5,Samples and POP,,T
3000052A,Eyelash Comb +  Eyebrow  Brush Tool,3000000047,P,5,Samples and POP,,T
30010000,Free Gift Wrapping,,S,6,Packaging,T,T
30020000,Flyer (Intensive Repair),,P,5,Samples and POP,T,T
